date,State,cases,deaths,population,new_cases,new_deaths,cases_per_100k,deaths_per_100k,new_cases_per_100k,iso_3166_2_code,census_fips_code,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,overall_pct_change,AREA_SQMI,White,IncomePerCap,Poverty,ChildPoverty,Service,Production,dem_gop_diff_16,FBFilterBubble
2020-04-25,FL,30835,1054,21477737,763.8571428571429,43.42857142857143,143.56726688663707,4.9074071444305325,3.5565066415383653,US-FL,,-45.0,-19.0,-52.0,-59.0,-36.0,13.0,-33.214285714285715,53634.00899999999,56.05955320055635,26829.026218465733,16.5641158973035,24.077427988067864,20.65058790257771,9.119582885314967,-0.008108750083542709,3.5144658160060693
2020-04-26,FL,31527,1074,21477737,745.4285714285714,42.857142857142854,146.78920782017212,5.000526824590505,3.470703507676677,US-FL,,-47.0,-23.0,-52.0,-63.0,-40.0,12.0,-33.19047619047619,53634.00899999999,56.05955320055635,26829.026218465733,16.5641158973035,24.077427988067864,20.65058790257771,9.119582885314967,-0.008108750083542709,3.5144658160060693
2020-04-27,FL,32135,1088,21477737,726.0,37.857142857142854,149.62004609703527,5.065710600702485,3.3802443898069896,US-FL,,-38.0,-19.0,-39.0,-54.0,-44.0,17.0,-32.452380952380956,53634.00899999999,56.05955320055635,26829.026218465733,16.5641158973035,24.077427988067864,20.65058790257771,9.119582885314967,-0.008108750083542709,3.5144658160060693
2020-04-28,FL,32840,1171,21477737,710.8571428571429,43.42857142857143,152.90251482267428,5.45215727336637,3.309739489114439,US-FL,,-38.0,-17.0,-39.0,-50.0,-45.0,13.0,-32.26190476190477,53634.00899999999,56.05955320055635,26829.026218465733,16.5641158973035,24.077427988067864,20.65058790257771,9.119582885314967,-0.008108750083542709,3.5144658160060693
2020-04-29,FL,33185,1218,21477737,658.4285714285714,41.57142857142857,154.5088293054338,5.670988521742305,3.0656328989807977,US-FL,,-38.0,-18.0,-36.0,-51.0,-45.0,18.0,-31.976190476190485,53634.00899999999,56.05955320055635,26829.026218465733,16.5641158973035,24.077427988067864,20.65058790257771,9.119582885314967,-0.008108750083542709,3.5144658160060693
2020-04-30,FL,33683,1267,21477737,576.5714285714286,40.0,156.8275093414171,5.899131738134236,2.684507350897483,US-FL,,-40.0,-19.0,-47.0,-53.0,-46.0,19.0,-31.80952380952382,53634.00899999999,56.05955320055635,26829.026218465733,16.5641158973035,24.077427988067864,20.65058790257771,9.119582885314967,-0.008108750083542709,3.5144658160060693
2020-05-01,FL,34717,1314,21477737,597.7142857142857,38.42857142857143,161.64179680568768,6.117962986510171,2.782948155638025,US-FL,,-36.0,-13.0,-27.0,-51.0,-43.0,18.0,-30.2857142857143,53634.00899999999,56.05955320055635,26829.026218465733,16.5641158973035,24.077427988067864,20.65058790257771,9.119582885314967,-0.008108750083542709,3.5144658160060693
2020-05-02,FL,35451,1364,21477737,659.4285714285714,44.285714285714285,165.05928906755867,6.350762186910101,3.0702888829887964,US-FL,,-40.0,-14.0,-31.0,-53.0,-32.0,11.0,-29.35714285714287,53634.00899999999,56.05955320055635,26829.026218465733,16.5641158973035,24.077427988067864,20.65058790257771,9.119582885314967,-0.008108750083542709,3.5144658160060693
2020-05-03,FL,36066,1379,21477737,648.4285714285714,43.57142857142857,167.9227192324778,6.420601947030081,3.0190730589008115,US-FL,,-40.0,-14.0,-30.0,-58.0,-35.0,10.0,-28.261904761904777,53634.00899999999,56.05955320055635,26829.026218465733,16.5641158973035,24.077427988067864,20.65058790257771,9.119582885314967,-0.008108750083542709,3.5144658160060693
2020-05-04,FL,36880,1399,21477737,677.8571428571429,44.42857142857143,171.71269021498867,6.513721627190053,3.156092016850485,US-FL,,-32.0,-15.0,-30.0,-50.0,-41.0,15.0,-27.690476190476204,53634.00899999999,56.05955320055635,26829.026218465733,16.5641158973035,24.077427988067864,20.65058790257771,9.119582885314967,-0.008108750083542709,3.5144658160060693
2020-05-05,FL,37412,1468,21477737,653.1428571428571,42.42857142857143,174.1896737072439,6.834984523741957,3.041022697795662,US-FL,,-31.0,-10.0,-29.0,-48.0,-41.0,16.0,-26.90476190476192,53634.00899999999,56.05955320055635,26829.026218465733,16.5641158973035,24.077427988067864,20.65058790257771,9.119582885314967,-0.008108750083542709,3.5144658160060693
2020-05-06,FL,37970,1535,21477737,683.5714285714286,45.285714285714285,176.78771278370715,7.146935452277863,3.182697639753334,US-FL,,-33.0,-14.0,-26.0,-49.0,-41.0,16.0,-26.35714285714287,53634.00899999999,56.05955320055635,26829.026218465733,16.5641158973035,24.077427988067864,20.65058790257771,9.119582885314967,-0.008108750083542709,3.5144658160060693
2020-05-07,FL,38795,1596,21477737,730.2857142857143,47.0,180.628899590306,7.430950476765778,3.4001986069841266,US-FL,,-33.0,-12.0,-23.0,-48.0,-41.0,16.0,-25.2857142857143,53634.00899999999,56.05955320055635,26829.026218465733,16.5641158973035,24.077427988067864,20.65058790257771,9.119582885314967,-0.008108750083542709,3.5144658160060693
2020-05-08,FL,39163,1667,21477737,635.1428571428571,50.42857142857143,182.3423017052495,7.761525341333679,2.957214985651687,US-FL,,-33.0,-9.0,-20.0,-48.0,-40.0,17.0,-24.833333333333343,53634.00899999999,56.05955320055635,26829.026218465733,16.5641158973035,24.077427988067864,20.65058790257771,9.119582885314967,-0.008108750083542709,3.5144658160060693
2020-05-09,FL,39949,1713,21477737,642.5714285714286,49.857142857142854,186.0019051355364,7.975700605701616,2.9918022954253916,US-FL,,-33.0,-3.0,-26.0,-49.0,-28.0,9.0,-24.14285714285715,53634.00899999999,56.05955320055635,26829.026218465733,16.5641158973035,24.077427988067864,20.65058790257771,9.119582885314967,-0.008108750083542709,3.5144658160060693
2020-05-10,FL,40543,1719,21477737,639.5714285714286,48.57142857142857,188.76755963628756,8.003636509749608,2.9778343434013954,US-FL,,-35.0,-10.0,-51.0,-56.0,-31.0,9.0,-24.309523809523817,53634.00899999999,56.05955320055635,26829.026218465733,16.5641158973035,24.077427988067864,20.65058790257771,9.119582885314967,-0.008108750083542709,3.5144658160060693
2020-05-11,FL,40929,1735,21477737,578.4285714285714,48.0,190.56476946337503,8.078132253877586,2.693154178340909,US-FL,,-31.0,-16.0,-28.0,-48.0,-39.0,14.0,-24.190476190476197,53634.00899999999,56.05955320055635,26829.026218465733,16.5641158973035,24.077427988067864,20.65058790257771,9.119582885314967,-0.008108750083542709,3.5144658160060693
2020-05-12,FL,41827,1779,21477737,630.7142857142857,44.42857142857143,194.74584310255779,8.282995550229524,2.936595627901979,US-FL,,-30.0,-12.0,-24.0,-45.0,-39.0,15.0,-24.000000000000004,53634.00899999999,56.05955320055635,26829.026218465733,16.5641158973035,24.077427988067864,20.65058790257771,9.119582885314967,-0.008108750083542709,3.5144658160060693
